ID,Produto,Marca,Vendas,Valor Unitário,Categoria,Data da Venda,Nome do Cliente,Cidade do Cliente
1027,Micro-ondas,Brastemp,3,1943.21,Eletroportáteis,2023-09-12,Luiz Felipe Nascimento,Gomes
1028,Televisão,Consul,3,3436.7,Eletrônicos,2024-06-26,Dr. Antônio Moura,Pinto
1029,Aspirador de Pó,Consul,3,4316.78,Eletroportáteis,2025-05-19,Alícia Ribeiro,da Cunha das Pedras
1030,Ar-Condicionado,Britânia,4,705.54,Climatização,2023-12-22,Dr. Luiz Felipe da Rosa,Ramos do Sul
1031,Micro-ondas,Consul,2,1383.8,Eletroportáteis,2024-06-15,Maria Fernanda Dias,Lopes
1032,Televisão,Electrolux,1,4525.37,Eletrônicos,2024-10-13,Eduardo das Neves,Gomes das Flores
1033,Secadora,Samsung,3,714.77,Linha Branca,2025-03-01,Yuri Farias,Cardoso
1034,Liquidificador,Brastemp,4,516.78,Eletroportáteis,2024-07-03,Vitor da Rosa,Novaes
1035,Fogão,Samsung,1,5254.39,Linha Branca,2025-03-31,Evelyn Fernandes,da Mata
1036,Cafeteira,Philco,2,3024.91,Eletroportáteis,2023-11-09,João Lucas Freitas,da Paz
1037,Secadora,Samsung,1,5276.19,Linha Branca,2024-12-07,Catarina Pereira,Pereira
1038,Liquidificador,LG,2,3117.0,Eletroportáteis,2025-04-27,Heitor Carvalho,Costela
1039,Máquina de Lavar,Consul,1,3449.99,Linha Branca,2024-05-12,Olivia Lopes,Araújo
1040,Secadora,Mondial,1,2475.93,Linha Branca,2025-05-20,Srta. Giovanna Duarte,Aragão Grande
1041,Secadora,Midea,3,5944.04,Linha Branca,2024-09-22,Vitor Gabriel Fogaça,Carvalho
1042,Máquina de Lavar,Philco,1,511.44,Linha Branca,2024-08-05,Leonardo Nogueira,Campos do Amparo
1043,Cafeteira,LG,2,3989.98,Eletroportáteis,2025-06-04,Julia da Cunha,Vieira
1044,Micro-ondas,Consul,2,5191.35,Eletroportáteis,2025-06-30,Leonardo Moura,Campos da Mata
1045,Ar-Condicionado,Electrolux,5,4103.29,Climatização,2023-07-19,Emanuel Nogueira,Nogueira
1046,Aspirador de Pó,Brastemp,4,4522.56,Eletroportáteis,2023-10-13,Júlia Peixoto,Dias
1047,Secadora,Mondial,2,3176.65,Linha Branca,2024-10-08,João Lucas Rocha,Mendes
1048,Cafeteira,Panasonic,2,859.94,Eletroportáteis,2024-10-19,Laís Costa,da Rocha de Minas
1049,Secadora,Brastemp,4,3990.06,Linha Branca,2024-05-04,Dr. Kevin Ramos,Pinto de Duarte
1050,Televisão,LG,2,5138.94,Eletrônicos,2024-01-13,Luiza Silveira,Peixoto do Norte
1051,Fogão,Panasonic,4,1806.35,Linha Branca,2024-04-16,Calebe Peixoto,Novaes
1052,Fogão,Panasonic,1,5061.51,Linha Branca,2024-07-22,Thiago da Rosa,Silva
1053,Cafeteira,Mondial,4,4375.89,Eletroportáteis,2024-07-17,Ana Beatriz Correia,Melo da Serra
1054,Ar-Condicionado,Philco,5,492.61,Climatização,2023-07-21,Ana Cardoso,Jesus
1055,Liquidificador,Midea,2,2674.44,Eletroportáteis,2025-03-09,Alana da Mata,Novaes do Oeste
1056,Fogão,Mondial,3,5170.11,Linha Branca,2025-06-03,Olivia Fernandes,Rocha da Mata
1057,Máquina de Lavar,Electrolux,4,3925.62,Linha Branca,2023-12-26,Letícia Cardoso,Ferreira do Galho
1058,Aspirador de Pó,Brastemp,4,4983.29,Eletroportáteis,2024-05-10,Stephany Barbosa,da Paz
1059,Secadora,Electrolux,2,1587.73,Linha Branca,2023-11-27,Theo Ramos,Araújo
1060,Micro-ondas,Electrolux,1,303.26,Eletroportáteis,2023-12-04,Sra. Melissa Sales,Peixoto
1061,Secadora,Brastemp,3,2895.16,Linha Branca,2023-07-20,Sofia da Rocha,Cunha
1062,Aspirador de Pó,Brastemp,5,654.67,Eletroportáteis,2025-06-23,Maria Eduarda Pires,Castro do Oeste
1063,Geladeira,Panasonic,5,5291.37,Linha Branca,2023-08-01,Gabrielly Barbosa,Nogueira
1064,Geladeira,Electrolux,4,4887.87,Linha Branca,2024-01-10,Danilo da Mata,da Conceição
1065,Geladeira,Mondial,1,572.15,Linha Branca,2025-02-18,Raquel Pires,Fogaça
1066,Cafeteira,Brastemp,1,4178.6,Eletroportáteis,2025-06-04,Cauê Martins,Rocha
1067,Ar-Condicionado,LG,3,1744.56,Climatização,2024-07-24,Ana Luiza Santos,Cardoso
1068,Televisão,Philco,4,5996.02,Eletrônicos,2024-05-03,Marcela Ramos,Pereira
1069,Televisão,Consul,4,5059.23,Eletrônicos,2023-07-13,Sr. Diego Vieira,Dias dos Dourados
1070,Liquidificador,Brastemp,1,3382.78,Eletroportáteis,2024-03-22,Isabella da Rocha,Santos do Sul
1071,Liquidificador,Samsung,1,3007.24,Eletroportáteis,2024-02-21,Ana Sophia Mendes,Martins
1072,Máquina de Lavar,Mondial,2,2680.44,Linha Branca,2024-03-08,Ana Vitória Nunes,Farias do Galho
1073,Liquidificador,Panasonic,3,4835.87,Eletroportáteis,2025-04-30,Dra. Bianca da Cunha,Caldeira do Amparo
1074,Televisão,Consul,3,1420.1,Eletrônicos,2025-01-26,Mariana Fernandes,Cardoso
1075,Cafeteira,LG,3,2036.31,Eletroportáteis,2025-05-30,Vitor Gabriel da Cruz,Lima Alegre
1076,Secadora,Consul,1,2413.7,Linha Branca,2023-10-21,Maria Vitória Fogaça,Dias
1077,Ar-Condicionado,Britânia,4,1185.88,Climatização,2025-01-14,Sra. Maria Nascimento,Duarte
1078,Cafeteira,Samsung,2,3683.33,Eletroportáteis,2024-07-09,Lívia Correia,Fogaça
1079,Micro-ondas,Philco,4,1988.22,Eletroportáteis,2024-06-25,Cecília Aragão,Lopes da Prata
1080,Ar-Condicionado,Electrolux,5,3360.44,Climatização,2025-06-01,Lara Silva,das Neves de Goiás
1081,Geladeira,Britânia,3,1315.86,Linha Branca,2025-05-02,Luiza Vieira,Correia
1082,Secadora,Panasonic,1,2470.64,Linha Branca,2025-06-08,Enzo Correia,Jesus de Mendes
1083,Fogão,Panasonic,5,2179.65,Linha Branca,2023-10-18,Julia Rodrigues,Novaes
1084,Liquidificador,Mondial,4,895.28,Eletroportáteis,2024-06-21,Natália Rezende,da Mota de Silva
1085,Cafeteira,Midea,3,5039.91,Eletroportáteis,2025-03-06,Dr. Vitor Gabriel Costa,Caldeira
1086,Secadora,Samsung,5,1307.95,Linha Branca,2024-09-27,Theo Gomes,Rocha da Mata
1087,Secadora,Britânia,5,4465.25,Linha Branca,2025-06-09,Davi Araújo,Almeida
1088,Micro-ondas,Samsung,1,962.79,Eletroportáteis,2023-12-18,Cauã Gomes,Moura
1089,Liquidificador,Samsung,5,364.82,Eletroportáteis,2024-01-03,Sra. Rebeca Fogaça,Duarte do Norte
1090,Secadora,Consul,5,2653.88,Linha Branca,2025-06-02,Marina Almeida,Vieira do Campo
1091,Liquidificador,Samsung,5,324.91,Eletroportáteis,2023-07-17,João Guilherme Moura,Ferreira de Azevedo
1092,Televisão,Electrolux,4,2445.2,Eletrônicos,2024-02-12,Eduardo Monteiro,das Neves Alegre
1093,Máquina de Lavar,Philco,2,4598.6,Linha Branca,2024-06-12,Sr. Isaac Barros,Moura da Mata
1094,Cafeteira,Brastemp,1,1412.25,Eletroportáteis,2025-01-18,Renan Viana,Moraes do Norte
1095,Fogão,Mondial,1,2006.08,Linha Branca,2024-01-15,Ana Teixeira,da Costa das Pedras
1096,Liquidificador,Consul,3,2472.66,Eletroportáteis,2024-02-06,João Guilherme da Rocha,Novaes dos Dourados
1097,Televisão,Philco,2,2771.3,Eletrônicos,2024-11-20,Pedro Henrique Gonçalves,Araújo
1098,Cafeteira,Consul,1,446.55,Eletroportáteis,2023-11-22,Rodrigo Silveira,Jesus
1099,Televisão,Brastemp,2,2139.94,Eletrônicos,2024-05-30,Laura Santos,Araújo
1100,Cafeteira,Samsung,3,511.34,Eletroportáteis,2024-08-14,Ana da Rosa,Alves do Sul
1101,Micro-ondas,Panasonic,4,2063.23,Eletroportáteis,2025-02-02,Beatriz Alves,Viana
1102,Micro-ondas,LG,5,1779.06,Eletroportáteis,2024-06-28,Thiago Lima,Fogaça de Jesus
1103,Televisão,LG,4,2192.67,Eletrônicos,2025-03-28,Caio da Paz,Jesus de Azevedo
1104,Secadora,Panasonic,2,4799.47,Linha Branca,2023-10-15,Sra. Raquel Freitas,Farias
1105,Máquina de Lavar,Midea,2,1421.01,Linha Branca,2024-10-21,Felipe Almeida,Fernandes Paulista
1106,Cafeteira,Electrolux,2,3619.33,Eletroportáteis,2023-08-13,Beatriz Pires,Melo do Galho
1107,Televisão,Panasonic,3,3999.35,Eletrônicos,2024-10-03,Caio Rodrigues,Santos
1108,Liquidificador,Mondial,5,4490.39,Eletroportáteis,2023-11-11,Dra. Ana Carolina Carvalho,Rezende
1109,Fogão,LG,1,2354.11,Linha Branca,2023-11-05,João Vitor Campos,Costa da Prata
1110,Secadora,Mondial,1,2592.56,Linha Branca,2024-01-08,André Souza,Cunha da Serra
1111,Aspirador de Pó,Panasonic,3,2210.3,Eletroportáteis,2024-09-06,Heitor Viana,Ribeiro de Moraes
1112,Cafeteira,Philco,5,5231.75,Eletroportáteis,2023-09-07,Maria Julia da Mata,Rocha Alegre
1113,Secadora,Electrolux,5,5292.72,Linha Branca,2024-06-11,Dr. Eduardo Lima,Freitas de Moraes
1114,Micro-ondas,Brastemp,2,2559.52,Eletroportáteis,2025-03-02,Ana da Cunha,Costela
1115,Secadora,Mondial,1,5258.75,Linha Branca,2024-07-24,Sra. Manuela da Rosa,Moreira das Pedras
1116,Geladeira,Mondial,4,1033.35,Linha Branca,2025-04-08,Nina Farias,Silveira
1117,Fogão,Panasonic,5,5906.78,Linha Branca,2025-04-24,Joaquim Silveira,Peixoto de Barbosa
1118,Secadora,Britânia,4,1578.35,Linha Branca,2025-05-21,Emanuelly Oliveira,Cardoso de Minas
1119,Micro-ondas,Consul,3,2839.75,Eletroportáteis,2025-04-25,Isabel Monteiro,Cardoso
1120,Máquina de Lavar,Midea,4,3829.66,Linha Branca,2024-05-25,Stephany Costela,Gomes
1121,Aspirador de Pó,Samsung,4,3612.17,Eletroportáteis,2024-02-13,Ana Beatriz Azevedo,Moura do Amparo
1122,Micro-ondas,Mondial,3,5794.49,Eletroportáteis,2024-11-11,Sr. Lucas Gabriel Azevedo,da Rocha da Serra
1123,Liquidificador,Philco,5,5498.26,Eletroportáteis,2024-10-30,Srta. Luiza Araújo,Costela
1124,Micro-ondas,Samsung,5,5218.4,Eletroportáteis,2023-10-02,Pedro Miguel Barbosa,Cunha da Praia
1125,Fogão,Samsung,5,5535.59,Linha Branca,2024-03-13,Antônio Dias,Gonçalves
1126,Fogão,Mondial,1,2279.68,Linha Branca,2024-08-13,Pedro Henrique Teixeira,Barbosa
1127,Televisão,Philco,4,418.91,Eletrônicos,2025-07-08,Marcos Vinicius Duarte,Peixoto
1128,Ar-Condicionado,Consul,2,5256.27,Climatização,2024-11-14,Luna Alves,da Costa da Mata
1129,Secadora,Brastemp,5,1120.29,Linha Branca,2025-02-28,Luiz Miguel Rodrigues,Costa
1130,Máquina de Lavar,Electrolux,5,4827.65,Linha Branca,2025-02-28,Sr. Diogo Barbosa,Pires Alegre
1131,Geladeira,Midea,1,2526.42,Linha Branca,2024-07-12,Benício Gonçalves,Gomes de Goiás
1132,Cafeteira,LG,1,1969.67,Eletroportáteis,2025-06-20,Ana Sophia Nascimento,Castro
1133,Secadora,Philco,4,2205.95,Linha Branca,2023-11-26,Ryan Rocha,Monteiro
1134,Geladeira,LG,1,5016.82,Linha Branca,2023-10-23,Sabrina Pinto,da Cruz
1135,Geladeira,Brastemp,2,2326.07,Linha Branca,2024-06-02,Ryan Aragão,Pires
1136,Televisão,Britânia,1,3241.24,Eletrônicos,2024-11-22,Dr. Rafael da Rosa,Farias
1137,Aspirador de Pó,Britânia,2,3420.45,Eletroportáteis,2025-02-15,Mirella Costela,Farias
1138,Fogão,Electrolux,4,4534.79,Linha Branca,2024-01-16,Srta. Ana Vitória Alves,Teixeira da Praia
1139,Ar-Condicionado,Mondial,4,543.86,Climatização,2024-06-18,Yuri Cardoso,da Conceição da Praia
1140,Liquidificador,Mondial,2,1167.19,Eletroportáteis,2023-12-16,Dr. Davi Luiz Gonçalves,Moreira
1141,Secadora,Mondial,5,5789.19,Linha Branca,2024-01-25,Renan Carvalho,Castro
1142,Ar-Condicionado,Midea,5,5379.03,Climatização,2024-01-21,Maitê Pereira,Freitas
1143,Aspirador de Pó,Electrolux,4,1925.97,Eletroportáteis,2024-11-23,Sra. Mariana Lima,Fogaça Grande
1144,Micro-ondas,Electrolux,2,1575.62,Eletroportáteis,2024-09-21,Elisa Peixoto,Cardoso
1145,Secadora,Britânia,5,4804.01,Linha Branca,2025-03-31,João Gabriel Lima,Costela de Minas
1146,Televisão,Panasonic,1,3906.69,Eletrônicos,2024-03-23,Dr. Yago Castro,Moraes
1147,Geladeira,Brastemp,2,3495.2,Linha Branca,2023-10-15,Dra. Isabella Costa,Carvalho das Pedras
1148,Televisão,Philco,4,1797.7,Eletrônicos,2024-07-13,Isabella Cavalcanti,Costa de Costa
1149,Liquidificador,LG,5,1292.18,Eletroportáteis,2025-06-17,Rebeca Fernandes,da Conceição de Pires
1150,Máquina de Lavar,LG,1,2272.31,Linha Branca,2024-10-24,Esther Silveira,Duarte
1151,Cafeteira,Philco,2,2295.27,Eletroportáteis,2025-04-23,Maria Fernanda Cavalcanti,Silveira do Campo
1152,Micro-ondas,Brastemp,5,1202.82,Eletroportáteis,2024-10-26,Clarice Teixeira,Cardoso
1153,Máquina de Lavar,Consul,3,1331.56,Linha Branca,2025-05-20,Sr. Vitor Pinto,Moreira
1154,Máquina de Lavar,Britânia,2,3009.88,Linha Branca,2024-05-11,Alícia da Rosa,Gomes
1155,Aspirador de Pó,Consul,4,2717.96,Eletroportáteis,2025-05-07,Valentina Silva,Ribeiro
1156,Televisão,Mondial,4,1403.76,Eletrônicos,2025-05-17,Anthony Cavalcanti,da Rosa
1157,Liquidificador,Midea,4,5196.79,Eletroportáteis,2024-05-01,Sophie Porto,Aragão Paulista
1158,Liquidificador,Electrolux,3,2831.6,Eletroportáteis,2023-10-06,Juan Costela,da Rocha da Mata
1159,Cafeteira,LG,5,4337.0,Eletroportáteis,2024-06-17,Esther da Rocha,Barros Grande
1160,Máquina de Lavar,Mondial,3,4479.13,Linha Branca,2025-05-17,Isabelly Souza,da Rosa
1161,Máquina de Lavar,Philco,5,3329.7,Linha Branca,2024-09-17,Diogo Silveira,Rocha
1162,Televisão,Samsung,4,2056.54,Eletrônicos,2024-01-24,Dr. Lucas Cavalcanti,Pereira
1163,Micro-ondas,Britânia,5,632.47,Eletroportáteis,2024-09-28,Carlos Eduardo Oliveira,Souza do Sul
1164,Liquidificador,Philco,5,1065.31,Eletroportáteis,2025-03-25,Fernando Alves,Castro
1165,Micro-ondas,Consul,5,2892.9,Eletroportáteis,2025-05-22,Ian Gonçalves,Mendes
1166,Secadora,LG,4,2059.94,Linha Branca,2023-08-12,Pedro Miguel Mendes,Oliveira de Goiás
1167,Geladeira,Britânia,4,5766.25,Linha Branca,2025-03-03,Isis da Mata,Oliveira
1168,Secadora,Electrolux,4,3687.22,Linha Branca,2025-01-19,Augusto Rocha,Silva de Correia
1169,Geladeira,Electrolux,5,2068.1,Linha Branca,2024-11-20,Luana da Costa,da Conceição
1170,Liquidificador,Brastemp,2,1120.32,Eletroportáteis,2024-06-22,Dr. Otávio Silva,da Cunha
1171,Televisão,Mondial,5,4674.11,Eletrônicos,2023-11-20,João Pedro Viana,Silveira
1172,Cafeteira,Samsung,4,848.67,Eletroportáteis,2025-03-18,Ana Carolina das Neves,Souza
1173,Aspirador de Pó,Mondial,4,2779.79,Eletroportáteis,2025-01-26,Lorena Nunes,Carvalho do Amparo
1174,Televisão,Consul,1,2163.32,Eletrônicos,2024-05-06,João Pedro Caldeira,Moura
1175,Secadora,Samsung,1,1405.79,Linha Branca,2024-05-05,Nathan Carvalho,Rocha do Norte
1176,Cafeteira,Britânia,2,3841.69,Eletroportáteis,2023-12-21,Sr. Danilo Teixeira,Pinto
1177,Televisão,Mondial,1,534.07,Eletrônicos,2025-03-07,Srta. Luiza Correia,Pires dos Dourados
1178,Cafeteira,Brastemp,1,3208.84,Eletroportáteis,2025-07-05,Joana da Paz,Pires
1179,Micro-ondas,Mondial,1,4715.76,Eletroportáteis,2024-04-20,Benício Silva,da Conceição de Fogaça
1180,Liquidificador,LG,2,4936.93,Eletroportáteis,2025-01-08,Maria da Rosa,da Rosa
1181,Cafeteira,LG,3,3708.07,Eletroportáteis,2023-08-11,Maria Fernanda Oliveira,Lima
1182,Geladeira,Britânia,3,1233.02,Linha Branca,2025-03-06,Leonardo Cavalcanti,Lopes
1183,Televisão,Electrolux,3,2940.36,Eletrônicos,2025-01-24,Beatriz Nascimento,Azevedo
1184,Cafeteira,LG,2,588.04,Eletroportáteis,2024-07-16,Marina Nunes,Moura Paulista
1185,Televisão,Samsung,3,4798.84,Eletrônicos,2024-08-26,Juliana Porto,Costela
1186,Ar-Condicionado,Mondial,1,400.31,Climatização,2025-02-11,Anthony Freitas,Silveira
1187,Fogão,Samsung,1,530.13,Linha Branca,2024-07-23,Sr. Joaquim Teixeira,Rezende de da Rocha
1188,Micro-ondas,Mondial,4,3041.04,Eletroportáteis,2023-12-06,Joaquim Duarte,Viana
1189,Aspirador de Pó,Brastemp,5,3774.13,Eletroportáteis,2024-12-13,Maria Clara Moura,Azevedo da Mata
1190,Geladeira,Panasonic,2,2379.83,Linha Branca,2023-11-26,Nicole Azevedo,Melo
1191,Ar-Condicionado,Panasonic,1,1191.43,Climatização,2025-04-13,Eloah Viana,Oliveira
1192,Geladeira,LG,2,1106.15,Linha Branca,2023-12-24,Laura Monteiro,Rodrigues
1193,Fogão,Midea,4,661.17,Linha Branca,2025-05-14,Dra. Maria Vitória Lima,Jesus
1194,Cafeteira,Mondial,3,1650.85,Eletroportáteis,2025-05-27,Luiza Lopes,da Conceição
1195,Ar-Condicionado,Britânia,3,2792.39,Climatização,2024-05-11,Igor Nascimento,Silva Paulista
1196,Ar-Condicionado,Consul,5,2303.08,Climatização,2023-10-27,Valentina Moraes,da Cruz da Serra
1197,Liquidificador,Samsung,4,5295.92,Eletroportáteis,2025-05-06,Sr. Daniel Cavalcanti,Dias
1198,Televisão,Panasonic,1,3003.51,Eletrônicos,2024-03-12,Laura Peixoto,Vieira do Campo
1199,Aspirador de Pó,Mondial,1,2479.95,Eletroportáteis,2025-02-03,Caroline da Mata,Ribeiro
1200,Micro-ondas,Electrolux,2,665.61,Eletroportáteis,2024-02-26,Maria Fernanda Costela,Oliveira de Goiás
1201,Micro-ondas,Electrolux,1,878.71,Eletroportáteis,2025-01-04,Cauã Nascimento,Rodrigues
1202,Secadora,Mondial,4,5229.9,Linha Branca,2025-06-14,João Miguel Souza,Cardoso de da Rocha
1203,Secadora,Consul,2,4369.03,Linha Branca,2023-07-14,Ana Barbosa,Pires de Sales
1204,Geladeira,Panasonic,5,5792.82,Linha Branca,2024-01-03,Dr. Lucas Gabriel Costela,Alves
1205,Aspirador de Pó,Philco,4,658.52,Eletroportáteis,2024-07-05,Caroline Dias,Vieira
1206,Secadora,Samsung,4,4623.28,Linha Branca,2024-06-08,Diogo Castro,Azevedo
1207,Aspirador de Pó,Consul,4,244.34,Eletroportáteis,2024-02-01,Isabel da Cruz,Ramos do Norte
1208,Fogão,LG,1,2222.02,Linha Branca,2025-02-19,Raquel Castro,da Mota
1209,Liquidificador,Panasonic,4,4771.48,Eletroportáteis,2025-04-05,Dr. Arthur Moreira,Moraes
1210,Ar-Condicionado,Consul,1,3848.04,Climatização,2025-05-31,Caroline Fogaça,da Conceição do Oeste
1211,Geladeira,Philco,1,511.08,Linha Branca,2024-11-04,Júlia Caldeira,Rezende do Campo
1212,Fogão,Electrolux,3,2289.6,Linha Branca,2024-07-02,Giovanna Ferreira,Peixoto
1213,Liquidificador,Panasonic,1,2486.2,Eletroportáteis,2023-12-04,Luiz Otávio da Conceição,Freitas
1214,Liquidificador,Electrolux,1,4428.66,Eletroportáteis,2024-01-03,Ian Moraes,Sales de Martins
1215,Ar-Condicionado,Brastemp,4,5197.05,Climatização,2023-12-30,Noah da Rocha,Dias
1216,Televisão,Philco,2,2174.42,Eletrônicos,2023-12-21,Maria Sophia Ribeiro,Costela
1217,Máquina de Lavar,Britânia,4,2040.26,Linha Branca,2023-08-19,Ana Dias,Cardoso
1218,Televisão,Panasonic,2,5854.06,Eletrônicos,2025-06-20,Julia Castro,Vieira
1219,Geladeira,Britânia,3,5939.67,Linha Branca,2024-04-26,Leandro Nascimento,Azevedo da Mata
1220,Ar-Condicionado,Consul,2,4182.5,Climatização,2024-03-18,Daniel Fernandes,da Cruz
1221,Liquidificador,Midea,5,270.3,Eletroportáteis,2023-09-04,Alana Castro,Cardoso de das Neves
1222,Ar-Condicionado,Consul,1,1969.19,Climatização,2024-04-01,Melissa Viana,Barros
1223,Geladeira,Midea,4,4648.08,Linha Branca,2023-12-06,Dra. Julia Gomes,das Neves
1224,Geladeira,Electrolux,2,5981.21,Linha Branca,2024-04-18,Stephany Almeida,Carvalho de Vieira
1225,Fogão,Philco,4,3966.14,Linha Branca,2024-02-18,Isabella Sales,Gonçalves
1226,Ar-Condicionado,Mondial,1,5214.58,Climatização,2024-04-05,Julia Porto,Gomes do Sul
1227,Televisão,Brastemp,1,3882.82,Eletrônicos,2023-08-02,Camila Lima,Mendes
1228,Televisão,Brastemp,4,1278.63,Eletrônicos,2025-04-22,Pedro Miguel Costa,Campos Alegre
1229,Fogão,Mondial,3,3709.01,Linha Branca,2025-05-22,Joana Moraes,da Cunha de Minas
1230,Secadora,Consul,5,4413.22,Linha Branca,2024-11-22,Alana Fernandes,Silveira de da Rosa
1231,Televisão,Philco,3,4302.12,Eletrônicos,2024-03-26,Guilherme Fogaça,Correia de Barros
1232,Liquidificador,Brastemp,2,781.51,Eletroportáteis,2023-09-20,Pedro Henrique Campos,da Mota dos Dourados
1233,Ar-Condicionado,Panasonic,3,5648.41,Climatização,2025-01-18,Emilly Ferreira,Rodrigues
1234,Máquina de Lavar,Midea,2,1415.9,Linha Branca,2024-02-06,Dra. Catarina Novaes,da Luz
1235,Geladeira,Philco,4,4375.08,Linha Branca,2024-06-28,Vinicius Oliveira,Ribeiro
1236,Geladeira,Consul,5,1952.02,Linha Branca,2023-11-05,Valentina Caldeira,Carvalho
1237,Fogão,Electrolux,2,3184.26,Linha Branca,2023-08-11,Sr. Fernando da Rosa,Moreira
1238,Geladeira,Consul,1,606.2,Linha Branca,2025-06-23,Bruno Cardoso,da Luz da Serra
1239,Televisão,Consul,4,5196.47,Eletrônicos,2025-04-09,Pedro Miguel Costela,Rezende Grande
1240,Secadora,LG,5,940.41,Linha Branca,2024-06-24,Maria Nascimento,Cunha do Campo
1241,Secadora,Philco,3,4763.38,Linha Branca,2024-01-31,Sr. Davi Lucca Farias,da Luz do Norte
1242,Secadora,Brastemp,1,1112.91,Linha Branca,2024-06-30,Sr. Erick Nascimento,da Rocha
1243,Aspirador de Pó,LG,5,4460.68,Eletroportáteis,2023-11-18,Evelyn Azevedo,Nascimento
1244,Secadora,Britânia,5,3804.44,Linha Branca,2024-12-19,Luna Caldeira,Gomes
1245,Televisão,Brastemp,4,1911.53,Eletrônicos,2025-05-31,Catarina Barbosa,Nunes das Pedras
1246,Secadora,Electrolux,4,5499.1,Linha Branca,2025-02-08,Ryan Aragão,Oliveira da Praia
1247,Secadora,Britânia,1,1960.06,Linha Branca,2024-06-03,Igor Gomes,Cardoso
1248,Aspirador de Pó,Electrolux,2,3902.2,Eletroportáteis,2025-05-22,Alexia Pereira,Santos de Costela
1249,Ar-Condicionado,Britânia,3,1757.32,Climatização,2024-03-09,Caio Ferreira,Martins
1250,Fogão,Britânia,2,334.95,Linha Branca,2023-12-02,Sophia Sales,Ramos de Barbosa
1251,Cafeteira,LG,5,3775.86,Eletroportáteis,2025-02-05,Sr. Pietro Correia,Nogueira
1252,Aspirador de Pó,Electrolux,5,4772.93,Eletroportáteis,2024-05-07,Valentina Azevedo,Ferreira de Goiás
1253,Micro-ondas,Samsung,5,807.94,Eletroportáteis,2024-02-26,Heloísa Novaes,Pires Grande
1254,Televisão,Electrolux,1,2888.02,Eletrônicos,2024-03-15,Stella Rezende,Barbosa Alegre
1255,Fogão,Philco,2,4309.61,Linha Branca,2025-06-26,João Vitor Ribeiro,da Luz Alegre
1256,Secadora,Mondial,4,4927.56,Linha Branca,2024-09-07,Carolina da Paz,Porto de das Neves
1257,Micro-ondas,Philco,4,744.45,Eletroportáteis,2024-01-13,Maria Julia das Neves,Correia
1258,Geladeira,Brastemp,3,271.97,Linha Branca,2024-09-21,Leonardo Nunes,Freitas
1259,Aspirador de Pó,Mondial,3,4486.07,Eletroportáteis,2024-06-12,Kevin Almeida,Rodrigues da Mata
1260,Máquina de Lavar,Electrolux,3,1722.15,Linha Branca,2024-06-11,Luiz Gustavo Teixeira,Rezende
1261,Micro-ondas,Consul,3,800.72,Eletroportáteis,2023-12-28,Pedro Henrique da Paz,da Mota
1262,Fogão,Britânia,4,5517.63,Linha Branca,2025-06-16,Carlos Eduardo Fernandes,Monteiro
1263,Micro-ondas,Electrolux,1,2743.33,Eletroportáteis,2025-05-22,Heitor Cunha,Mendes do Campo
1264,Máquina de Lavar,Philco,4,5888.13,Linha Branca,2024-07-20,Pedro Henrique Araújo,Novaes
1265,Ar-Condicionado,Mondial,2,1866.51,Climatização,2024-08-01,Sra. Isadora da Cruz,Mendes
1266,Máquina de Lavar,Panasonic,4,3737.18,Linha Branca,2024-10-10,Sr. Marcos Vinicius das Neves,Fogaça
1267,Fogão,Electrolux,1,3310.22,Linha Branca,2024-03-30,Sra. Sabrina Gomes,Cavalcanti
1268,Máquina de Lavar,Mondial,3,3807.48,Linha Branca,2025-04-14,Yasmin Campos,Martins Grande
1269,Ar-Condicionado,Panasonic,4,1711.41,Climatização,2024-06-17,Maria Clara Peixoto,da Mota de da Costa
1270,Secadora,Consul,5,4384.31,Linha Branca,2024-09-18,Sophia Moreira,Rodrigues de Mendes
1271,Aspirador de Pó,LG,2,4866.42,Eletroportáteis,2025-01-28,Arthur Carvalho,Barbosa de Silva
1272,Liquidificador,Electrolux,5,1462.89,Eletroportáteis,2024-03-16,Dra. Isabel Barbosa,da Paz
1273,Aspirador de Pó,Philco,4,3849.52,Eletroportáteis,2025-06-24,Melissa da Cunha,Ramos
1274,Secadora,Consul,4,3879.46,Linha Branca,2024-12-13,Bryan Vieira,Rodrigues
1275,Micro-ondas,Brastemp,1,3721.14,Eletroportáteis,2023-10-18,Emanuella Gomes,Barbosa de da Rosa
1276,Cafeteira,Mondial,2,3901.02,Eletroportáteis,2024-05-03,Bernardo Almeida,Farias do Amparo
1277,Liquidificador,Consul,4,2520.92,Eletroportáteis,2024-07-28,Sr. Ryan Almeida,Nogueira de Melo
1278,Geladeira,Mondial,4,3546.01,Linha Branca,2023-09-09,Guilherme Gomes,Martins
1279,Micro-ondas,Brastemp,5,1276.05,Eletroportáteis,2024-09-10,Vitor Gabriel Souza,Teixeira de Castro
1280,Liquidificador,Mondial,2,3861.2,Eletroportáteis,2024-07-28,Luiza Barros,Barbosa de Rezende
1281,Secadora,LG,1,2242.19,Linha Branca,2024-08-29,Kevin Araújo,Porto
1282,Secadora,Philco,3,1399.9,Linha Branca,2024-01-23,Levi Farias,Almeida
1283,Fogão,Mondial,4,2159.7,Linha Branca,2024-09-23,Dr. João Guilherme Freitas,Peixoto
